______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2098: Loss: 1.11 | Accuracy: 0.12
[Training] Itteration/Batch: 1400/2176: Loss: 0.44 | Accuracy: 0.75
[Training] Itteration/Batch: 1425/2176: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1525/2176: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 1550/2176: Loss: 0.14 | Accuracy: 0.88
[Training] Itteration/Batch: 1575/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1600/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2176: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2176: Loss: 0.23 | Accuracy: 0.88
[Training] Itteration/Batch: 1750/2176: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 1775/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 1.59 | Accuracy: 0.81
[Training] Itteration/Batch: 1825/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2176: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 1875/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2176: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2176: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1950/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2176: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 2025/2176: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 2050/2176: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 2075/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 2125/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2176: Loss: 0.58 | Accuracy: 0.88
[Training] Itteration/Batch: 2175/2176: Loss: 0.01 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.39436620473861694 | Val Macro F1 Majority 0.6815949166085875 |             Val Bin F1 Individual 0.3724457621574402 | Val Macro F1 Individual 0.6673853771326523 |             Val Accuracy Majority 0.9406998753547668 | Val Accuracy Individual 0.928917407989502 | Training Loss:0.19068311154842377 |             Val Loss 0.24897578358650208 | Train Runtime Millis 150438.71512101032 | Val Runtime Millis 24288.84791705059

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch:  25/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 2.54 | Accuracy: 0.88
[Training] Itteration/Batch: 125/2176: Loss: 0.34 | Accuracy: 0.88
[Training] Itteration/Batch: 150/2176: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 175/2176: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 200/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2176: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 275/2176: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2176: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2176: Loss: 0.21 | Accuracy: 0.88
[Training] Itteration/Batch: 400/2176: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2176: Loss: 0.34 | Accuracy: 0.81
[Training] Itteration/Batch: 450/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 0.06 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2176: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 550/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 575/2176: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 600/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2176: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2176: Loss: 0.07 | Accuracy: 0.94
[Training] Itteration/Batch: 750/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2176: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 825/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 850/2176: Loss: 0.28 | Accuracy: 0.88
[Training] Itteration/Batch: 875/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 900/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2176: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 950/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 975/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/2176: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2176: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 1275/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1300/2176: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1325/2176: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 1350/2176: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/2176: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 1400/2176: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2176: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 1475/2176: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 1500/2176: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1525/2176: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2176: Loss: 1.44 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2176: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 1675/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 1725/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2176: Loss: 0.33 | Accuracy: 0.94
[Training] Itteration/Batch: 1775/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2176: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 1875/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2176: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 1925/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1950/2176: Loss: 1.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1975/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2176: Loss: 0.00 | Accuracy: 1.00
[Training] Itteration/Batch: 2025/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 2050/2176: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 2075/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 2150/2176: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 2175/2176: Loss: 0.03 | Accuracy: 1.00

Epoch 3: Val Bin. F1 Majority 0.3913435637950897 | Val Macro F1 Majority 0.6803968272916097 |             Val Bin F1 Individual 0.36367547512054443 | Val Macro F1 Individual 0.6631629775056831 |             Val Accuracy Majority 0.9418203830718994 | Val Accuracy Individual 0.9294423460960388 | Training Loss:0.12614025175571442 |             Val Loss 0.27639955282211304 | Train Runtime Millis 150453.9669190417 | Val Runtime Millis 24249.85005997587

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.17 | Accuracy: 0.12
[Training] Itteration/Batch:  25/2176: Loss: 0.90 | Accuracy: 0.38
[Training] Itteration/Batch:  50/2176: Loss: 0.41 | Accuracy: 0.94
[Training] Itteration/Batch:  75/2176: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 125/2176: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 175/2176: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 200/2176: Loss: 0.65 | Accuracy: 0.94
[Training] Itteration/Batch: 225/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2176: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2176: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 300/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2176: Loss: 0.69 | Accuracy: 0.94
[Training] Itteration/Batch: 350/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2176: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2176: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2176: Loss: 0.33 | Accuracy: 0.75
[Training] Itteration/Batch: 475/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2176: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2176: Loss: 0.34 | Accuracy: 0.81
[Training] Itteration/Batch: 550/2176: Loss: 0.39 | Accuracy: 0.75
[Training] Itteration/Batch: 575/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 600/2176: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 625/2176: Loss: 0.59 | Accuracy: 0.88
[Training] Itteration/Batch: 650/2176: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 675/2176: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 700/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2176: Loss: 1.00 | Accuracy: 0.88
[Training] Itteration/Batch: 750/2176: Loss: 0.20 | Accuracy: 0.88
[Training] Itteration/Batch: 775/2176: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 800/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 850/2176: Loss: 1.18 | Accuracy: 0.94
[Training] Itteration/Batch: 875/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 900/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2176: Loss: 0.19 | Accuracy: 0.88
[Training] Itteration/Batch: 950/2176: Loss: 0.33 | Accuracy: 0.94
[Training] Itteration/Batch: 975/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/2176: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2176: Loss: 1.86 | Accuracy: 0.94
[Training] Itteration/Batch: 1050/2176: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1075/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/2176: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1150/2176: Loss: 1.02 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1200/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2176: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1250/2176: Loss: 0.21 | Accuracy: 0.88
[Training] Itteration/Batch: 1275/2176: Loss: 0.91 | Accuracy: 0.88
[Training] Itteration/Batch: 1300/2176: Loss: 0.35 | Accuracy: 0.88
[Training] Itteration/Batch: 1325/2176: Loss: 0.30 | Accuracy: 0.81
[Training] Itteration/Batch: 1350/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2176: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/2176: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2176: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 1475/2176: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 1500/2176: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 1525/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2176: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 1575/2176: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 1600/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2176: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2176: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2176: Loss: 1.09 | Accuracy: 0.94
[Training] Itteration/Batch: 1775/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2176: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2176: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 1950/2176: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1975/2176: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 2000/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 2025/2176: Loss: 0.27 | Accuracy: 0.81
[Training] Itteration/Batch: 2050/2176: Loss: 1.83 | Accuracy: 0.88
[Training] Itteration/Batch: 2075/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 2100/2176: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2176: Loss: 0.20 | Accuracy: 0.88
[Training] Itteration/Batch: 2175/2176: Loss: 0.03 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.3842634856700897 | Val Macro F1 Majority 0.676913078043439 |             Val Bin F1 Individual 0.35536104440689087 | Val Macro F1 Individual 0.6591820070549059 |             Val Accuracy Majority 0.9419927597045898 | Val Accuracy Individual 0.930022120475769 | Training Loss:0.330086886882782 |             Val Loss 0.24719536304473877 | Train Runtime Millis 150535.87357199285 | Val Runtime Millis 24334.608750010375

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 0.28 | Accuracy: 0.81
[Training] Itteration/Batch:  25/2176: Loss: 0.28 | Accuracy: 0.94
[Training] Itteration/Batch:  50/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 125/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2176: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 175/2176: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 200/2176: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2176: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 325/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2176: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 375/2176: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 400/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2176: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2176: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 525/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 550/2176: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 575/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2176: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 675/2176: Loss: 0.19 | Accuracy: 0.88
[Training] Itteration/Batch: 700/2176: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 725/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2176: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 850/2176: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 875/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 900/2176: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 950/2176: Loss: 0.83 | Accuracy: 0.88
[Training] Itteration/Batch: 975/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2176: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2176: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1050/2176: Loss: 0.34 | Accuracy: 0.81
[Training] Itteration/Batch: 1075/2176: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/2176: Loss: 0.72 | Accuracy: 0.69
[Training] Itteration/Batch: 1125/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2176: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2176: Loss: 0.06 | Accuracy: 0.94
[Training] Itteration/Batch: 1200/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1225/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2176: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 1275/2176: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2176: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2176: Loss: 0.25 | Accuracy: 0.94
[Training] Itteration/Batch: 1400/2176: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2176: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2176: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 1475/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2176: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2176: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2176: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2176: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1625/2176: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2176: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 1675/2176: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2176: Loss: 0.17 | Accuracy: 0.88
[Training] Itteration/Batch: 1750/2176: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 1775/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2176: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2176: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2176: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 1925/2176: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 1950/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2176: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2176: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 2025/2176: Loss: 0.65 | Accuracy: 0.94
[Training] Itteration/Batch: 2050/2176: Loss: 0.04 | Accuracy: 1.00
